match_key,match_id,n_players
2012-09-11|Bosnia and Herzegovina|Latvia,2262662.0,22
2012-09-11|Romania|Andorra,2262090.0,22
2012-09-11|Poland|Moldova,2262055.0,22
2012-09-11|Norway|Slovenia,2261088.0,22
2012-09-11|Scotland|North Macedonia,2261466.0,22
2012-09-11|Serbia|Wales,2261875.0,22
2012-09-11|Portugal|Azerbaijan,2262617.0,22
2012-09-11|Slovakia|Liechtenstein,2262661.0,22
2012-09-11|Northern Ireland|Luxembourg,2262616.0,22
2012-09-11|Switzerland|Albania,2261089.0,22
2012-09-11|Sweden|Kazakhstan,2261115.0,22
2012-10-12|Greece|Bosnia and Herzegovina,2261866.0,22
2012-10-12|Albania|Iceland,2261093.0,22
2012-10-12|Belarus|Spain,2262029.0,22
2012-10-12|Bulgaria|Denmark,2262583.0,22
2012-10-12|England|San Marino,2262057.0,22
2012-10-12|Estonia|Hungary,2262093.0,22
2012-10-12|Faroe Islands|Sweden,2261117.0,22
2012-10-12|Finland|Georgia,2262030.0,22
2012-10-12|Czechia|Malta,2262584.0,22
2012-10-12|Armenia|Italy,2262582.0,22
2012-10-12|Russia|Portugal,2262618.0,22
2012-10-12|Kazakhstan|Austria,2261118.0,22
2012-10-12|Wales|Scotland,2261467.0,22
2012-10-12|North Macedonia|Croatia,2261878.0,22
2012-10-12|Moldova|Ukraine,2262058.0,22
2012-10-12|Netherlands|Andorra,2262094.0,22
2012-10-12|Republic of Ireland|Germany,2261119.0,22
2012-10-12|Serbia|Belgium,2261877.0,22
2012-10-12|Slovakia|Latvia,2262664.0,22
2012-10-12|Slovenia|Cyprus,2261092.0,22
2012-10-12|Switzerland|Norway,2261091.0,22
2012-10-16|Albania|Slovenia,2261095.0,22
2012-10-16|Austria|Kazakhstan,2261121.0,22
2012-10-16|Belgium|Scotland,2261468.0,22
2012-10-16|Bosnia and Herzegovina|Lithuania,2262665.0,22
2012-10-16|Italy|Denmark,2262585.0,22
2012-10-16|Croatia|Wales,2261880.0,22
2012-10-16|Cyprus|Norway,2261094.0,22
2012-10-16|Czechia|Bulgaria,2262586.0,22
2012-10-16|Iceland|Switzerland,2261096.0,22
2012-10-16|Germany|Sweden,2261122.0,22
2012-10-16|Faroe Islands|Republic of Ireland,2261120.0,22
2012-10-16|North Macedonia|Serbia,2261879.0,22
2012-10-16|Portugal|Northern Ireland,2262620.0,22
2012-10-16|Russia|Azerbaijan,2262621.0,22
2012-10-16|Romania|Netherlands,2262097.0,22
2012-10-16|Spain|France,2262031.0,22
2012-10-16|Slovakia|Greece,2261867.0,22
2012-10-16|Ukraine|Montenegro,2262059.0,22
